main_questions,main_responses,inflam_questions,inflam_responses,practice_questions,practice_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,inflam.thisRepN,inflam.thisTrialN,inflam.thisN,inflam.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,text_6.started,text_6.stopped,start_practice_discuss.keys,start_practice_discuss.rt,start_practice_discuss.started,start_practice_discuss.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,end_discuss.started,end_discuss.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,rest_text.started,rest_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,main_question.started,main_question.stopped,end_main_intro.keys,end_main_intro.rt,end_main_intro.started,end_main_intro.stopped,text_4.started,text_4.stopped,text_10.started,text_10.stopped,start_main_discuss.keys,start_main_discuss.rt,start_main_discuss.started,start_main_discuss.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,skip.keys,skip.rt,skip.started,skip.stopped,text_11.started,text_11.stopped,text_12.started,text_12.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_9.started,text_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,27.720427990017924,None,space,3.973160973924678,27.720427990017924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
,,,,,,,,,,,,,,,,,,,,,,,,31.725903120997828,None,space,1.5991383499931544,31.725903120997828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.34880712098675,None,None,None,space,1.5423600950161926,421.34880712098675,None,422.91313853801694,None,None,None,None,None,q,3.156958631007001,422.91313853801694,None,426.096024952014,None,q,1.7120095019927248,426.096024952014,None,427.8293761370005,None,space,1.4150249889935367,427.8293761370005,None,429.2696169419796,None,space,9.58779991598567,429.2696169419796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
What do you hope never changes?,I love my friend group here and hope that I always keep in touch with them I guess. Do you have anything?,Should there be such a large wealth disparity in our country?,I believe that the people who made their fortunes in an honest way deserve to do what they want with it. How do you feel about it?,Would you say you are an introvert or an extrovert?,Somewhere in the middle I guess. I like spending time with people but after awhile it stresses me out. How about you?,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,536.4004788720049,601.4067504489794,586.374065098993,601.3734031100175,601.3734031100175,601.872971675999,q,66.53904797194991,536.4004788720049,None,602.9589185569785,632.9556647400022,q,39.72143794898875,602.9589185569785,None,642.7050767469918,None,space,1.8186736399657093,642.7050767469918,None,,,,,,,438.8921698909835,None,443.8791792310076,None,space,97.46850686997641,438.8921698909835,None,,,,,,,,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
What was the best vacation you’ve ever taken?,Oh man…that's hard. I guess this one time my family and I went to Yellowstone and rented a cabin. That was pretty awesome. Wbu?,Who do you think should have won the 2020 elections?,I honestly don't know. None of the canidates seemed that good tbh. What do you think?,What causes are you passionate about?,I really care about the planet…I know that sounds very basic but I really do think it deserves more attention. Do you have a cause you're passionate about?,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,742.5939228420029,None,792.5664970930084,None,None,None,q,64.46654241596116,742.5939228420029,None,807.0821463330067,837.0817521989811,q,35.88439203397138,807.0821463330067,None,842.9978586420184,None,space,1.8147787519847043,842.9978586420184,None,,,,,,,644.560514272016,None,649.5548251480213,None,space,98.00783175497781,644.560514272016,None,,,,,,,,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
What is something you’ve had to unlearn?,"Uh, I guess study habits. High school did a bad job getting me ready for college…do you have any habits you’re trying to break?",None,None,None,None,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,934.2029811249813,999.2093095150194,984.1763594620279,999.1759516429738,999.1759516429738,999.6758399149985,q,70.19192235998344,934.2029811249813,None,1004.4250725259772,1034.4244025929947,q,34.48261079896474,1004.4250725259772,None,1038.9285319789778,None,space,1.7049137810245156,1038.9285319789778,None,,,,,,,844.8335906920256,None,849.814406925987,None,space,89.34043743094662,844.8335906920256,None,,,,,,,,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.6572697429801,None,None,None,None,None,None,,,,,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,6.9609128150041215,1040.6572697429801,None,,,,,,,,,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
What was the best vacation you’ve ever taken?,Oh man…that's hard. I guess this one time my family and I went to Yellowstone and rented a cabin. That was pretty awesome. Wbu?,Who do you think should have won the 2020 elections?,I honestly don't know. None of the canidates seemed that good tbh. What do you think?,What causes are you passionate about?,I really care about the planet…I know that sounds very basic but I really do think it deserves more attention. Do you have a cause you're passionate about?,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1157.5750630020048,1222.5837538259802,1207.551542642992,1222.5670343230013,1222.5503948850092,1223.0506508200197,q,67.10701028699987,1157.5750630020048,None,1224.7006758329808,1254.7000358360237,q,31.35114068997791,1224.7006758329808,None,1256.083009850001,None,space,1.8532950319349766,1256.083009850001,None,,,,,,,,,,,,,,,,,,,,,,,,,,1047.657469250029,None,1052.6405094380025,None,space,109.8956950029824,1047.657469250029,None,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
What would you rate 10/10,This ones easy. Skiing in Winter Park after a big snow storm. Wbu?,Should AI be allowed to make judicial decisions?,I really don't know… on one hand I think it would be more consistent on the other it seems a little dystopic. How do you feel about that?,None,None,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,1364.5844114419888,1429.5933786549722,1414.5606335430057,1429.5600009349873,1429.5600009349873,1430.060156652995,q,70.10044063598616,1364.5844114419888,None,1434.7096811620286,1464.7092035620008,q,31.372269481944386,1434.7096811620286,None,1466.1087641189806,None,space,2.034130460990127,1466.1087641189806,None,,,,,,,,,,,,,,,,,,,,,,,,,,1257.971158106986,None,1262.9662499030237,None,space,106.58022270997753,1257.971158106986,None,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
What do you hope never changes?,I love my friend group here and hope that I always keep in touch with them I guess. Do you have anything?,Should there be such a large wealth disparity in our country?,I believe that the people who made their fortunes in an honest way deserve to do what they want with it. How do you feel about it?,Would you say you are an introvert or an extrovert?,Somewhere in the middle I guess. I like spending time with people but after awhile it stresses me out. How about you?,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,1591.0621180169983,1656.0688235880225,1641.0358099620207,1656.0353311750223,1656.0353311750223,1656.5352951040259,q,92.39739230897976,1591.0621180169983,None,1683.4840089060017,None,q,2.2236134779523127,1683.4840089060017,None,1685.7337755829794,None,space,0.899861040932592,1685.7337755829794,None,,,,,,,,,,,,,,,,,,,,,,,,,,1468.1800394469756,None,1473.1753391239909,None,space,122.85585123696364,1468.1800394469756,None,,,06/24/22-AnonCom,001,2022-06-24_13h37.44.798,Anon_communication,2022.1.4,59.966206649070735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.650536234025,None,,,,,,,
