main_questions,main_responses,inflam_questions,inflam_responses,practice_questions,practice_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,inflam.thisRepN,inflam.thisTrialN,inflam.thisN,inflam.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,text_6.started,text_6.stopped,start_practice_discuss.keys,start_practice_discuss.rt,start_practice_discuss.started,start_practice_discuss.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_2.started,sound_2.stopped,rest_text.started,rest_text.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,main_question.started,main_question.stopped,end_main_intro.keys,end_main_intro.rt,end_main_intro.started,end_main_intro.stopped,text_4.started,text_4.stopped,text_10.started,text_10.stopped,start_main_discuss.keys,start_main_discuss.rt,start_main_discuss.started,start_main_discuss.stopped,text_15.started,text_15.stopped,text_16.started,text_16.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_1.started,sound_1.stopped,key_resp_4.rt,text_13.started,text_13.stopped,text_14.started,text_14.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,skip.keys,skip.rt,skip.started,skip.stopped,text_11.started,text_11.stopped,text_12.started,text_12.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_17.started,text_17.stopped,text_18.started,text_18.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,sound_3.started,sound_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,41.31978310800332,None,space,5.057846993993735,41.31978310800332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
,,,,,,,,,,,,,,,,,,,,,,,,46.40751635999186,None,space,3.073838278010953,46.40751635999186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0348439829977,None,349.00331234799523,None,space,5.72733297200466,344.0348439829977,None,349.7866517049988,None,None,None,q,42.137208634012495,349.7866517049988,None,None,None,391.9518575260008,None,None,391.9518575260008,None,421.9509120799921,None,space,38.66578028499498,421.9509120799921,None,460.65288950099784,None,space,15.242413614018005,460.65288950099784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
What skill would you like to master?,I would love to learn how to juggle. I know that’s kind of weird but it's super fun. Do you have a skill you're trying to learn?,How tightly should we regulate immigration?,There needs to be a certain amount of control over it. I don't think we can have just anyone crossing the border unfortunately. What are your thoughts on that?,None,None,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.7304584069934,None,None,516.7304584069934,None,546.7295728099998,None,space,63.6761112610111,546.7295728099998,None,,,,,,,475.9292562240007,None,480.9156839060015,None,space,8.574518207009532,475.9292562240007,None,484.5318447500031,None,None,None,q,32.17695177301357,484.5318447500031,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
What skill would you like to master?,I would love to learn how to juggle. I know that’s kind of weird but it's super fun. Do you have a skill you're trying to learn?,How tightly should we regulate immigration?,There needs to be a certain amount of control over it. I don't think we can have just anyone crossing the border unfortunately. What are your thoughts on that?,None,None,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0769697549986,None,q,614.0769697549986,None,615.6269435669965,None,space,1.0767854519945104,615.6269435669965,None,,,,,,,610.4338173569995,None,None,None,space,2.6309570360026555,610.4338173569995,None,613.0937524609908,None,None,None,q,0.9634747710078955,613.0937524609908,None,None,None,1.5268062640097924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
What quirks do you have?,"Haha, I guess I never walk under a ladder. I don't know why I just don't. Do you have any weird things you?",Do you think religion should or should not be integrated into education?,I think it should. I think a lot of people could benefit from having a role model in their life and something to lean on. Do you have an opinion on that?,Do you have any pet peeves?,Yes! Dishes in the sink are SO triggering! Do you have anything that annoys you like that?,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0079189609969,None,None,682.0079189609969,None,712.0235429689928,None,space,142.46970999099722,712.0235429689928,None,,,,,,,616.7280733270018,None,621.7102226529969,None,space,21.32822875501006,616.7280733270018,None,638.0760530650005,None,None,None,q,43.91398184199352,638.0760530650005,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.5179967180011,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,13.676964135011076,854.5179967180011,None,,,,,,,,,,,,,,,,,,,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
What quirks do you have?,"Haha, I guess I never walk under a ladder. I don't know why I just don't. Do you have any weird things you?",Do you think religion should or should not be integrated into education?,I think it should. I think a lot of people could benefit from having a role model in their life and something to lean on. Do you have an opinion on that?,Do you have any pet peeves?,Yes! Dishes in the sink are SO triggering! Do you have anything that annoys you like that?,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.7484841139958,None,None,934.7484841139958,None,964.7643307010003,None,space,48.736909717001254,964.7643307010003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.233428188003,None,873.2176372599934,None,space,8.466661279002437,868.233428188003,None,876.7175157939928,None,926.6991499959986,None,q,58.0105455120065,876.7175157939928,None,926.6988114609936,926.9489226290025,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
What quirks do you have?,"Haha, I guess I never walk under a ladder. I don't know why I just don't. Do you have any weird things you?",Do you think religion should or should not be integrated into education?,I think it should. I think a lot of people could benefit from having a role model in their life and something to lean on. Do you have an opinion on that?,Do you have any pet peeves?,Yes! Dishes in the sink are SO triggering! Do you have anything that annoys you like that?,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.8955074749974,None,q,1016.8955074749974,None,1018.0289066929981,None,space,1.0808674590080045,1018.0289066929981,None,,,,,,,,,,,,,,,,,,,,,,,,,1.1061545430129627,,,,,,,,,,,,1013.5383203959937,None,None,None,space,2.4158913410064997,1013.5383203959937,None,1015.9790222570009,None,None,None,q,0.8932788109959802,1015.9790222570009,None,None,None,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
What was the best vacation you’ve ever taken?,Oh man…that's hard. I guess this one time my family and I went to Yellowstone and rented a cabin. That was pretty awesome. Wbu?,Who do you think should have won the 2020 elections?,I honestly don't know. None of the canidates seemed that good tbh. What do you think?,What causes are you passionate about?,I really care about the planet…I know that sounds very basic but I really do think it deserves more attention. Do you have a cause you're passionate about?,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.7263774829917,None,q,1088.7263774829917,None,1094.542882690992,None,space,0.970596058992669,1094.542882690992,None,,,,,,,,,,,,,,,,,,,,,,,,,5.799157666013343,,,,,,,,,,,,1019.1316782819922,None,1024.111977765002,None,space,9.393779739999445,1019.1316782819922,None,1028.5450188219984,None,1078.5268476670026,None,q,60.16176278500643,1028.5450188219984,None,1078.5269244579918,1078.776780262997,07/06/22_3,001,2022-07-06_14h07.44.304,Anon_communication,2022.1.4,59.909886663353525,
